problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,precision_relative_error,support_f1,beta_relative_error,signal_relative_error
graphical_lasso,residual_balance,2,42,26.521901053608133,25.899427820002575,7.399637708886957e-05,8.851463940433184e-05,1.0,0,converged,0.22266486544987701,0.2463768115942029,,
graphical_lasso,online_ogd,2,39,26.52189868896734,25.899427820002575,8.251508388804138e-05,7.414001737164856e-05,2.024190503445252,39,converged,0.22266299250749125,0.2463768115942029,,
graphical_lasso,online_ogd_epoch3,2,47,26.521897385163076,25.899427820002575,9.072405510395525e-05,8.277995322742134e-06,0.9958349139311936,15,converged,0.2226574289119385,0.2463768115942029,,
consensus_lasso,fixed_rho_0.1,0,150,2.4493223548179532,2.4493223548179532,0.0008064418492263802,1.3302662367988153e-06,0.1,0,running,,0.36363636363636365,0.12269624209033178,
consensus_lasso,fixed_rho_1.0,0,25,2.449322300158806,2.449322300158806,9.296582509653427e-05,3.44443547705875e-05,1.0,0,converged,,0.36363636363636365,0.12268630031097112,
consensus_lasso,fixed_rho_10.0,0,150,2.4493226045349243,2.4493226045349243,3.201515659427446e-06,0.0005522796868543276,10.0,0,running,,0.36363636363636365,0.12274625385949639,
consensus_lasso,residual_balance,0,25,2.449322300158806,2.449322300158806,9.296582509653427e-05,3.44443547705875e-05,1.0,0,converged,,0.36363636363636365,0.12268630031097112,
consensus_lasso,online_ogd,0,25,2.4493223008413274,2.4493223008413274,7.388950046411864e-05,4.946137105568061e-05,1.394899325268941,25,converged,,0.36363636363636365,0.12268758320712532,
consensus_lasso,online_ogd_epoch3,0,26,2.449322299597876,2.449322299597876,7.079334475035345e-05,2.4065046370268754e-05,1.114572453483192,8,converged,,0.36363636363636365,0.12268830545729349,
consensus_lasso,fixed_rho_0.1,1,150,2.7459976940321145,2.7459976940321145,0.0017991242099225113,2.248004202269397e-06,0.1,0,running,,0.41379310344827586,0.22893933778741785,
consensus_lasso,fixed_rho_1.0,1,28,2.7459975158911956,2.7459975158911956,7.416941807948161e-05,1.6996196393880977e-05,1.0,0,converged,,0.41379310344827586,0.2289099443688815,
