model,corpus,device,seed,method,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,3,gptq_proxy,3,14.556438719499923,2097881.7843067837,11.188811598712824,2097852.7746977587,285696,49,0.3022541938662119,0.24534639849090256,0.8537777467836164,0.0,0.0,0.0,5.820406313985586,2.878479196690023
gpt2,wikitext2,cuda,3,awq_proxy,3,11.919747503000348,150203.67764518695,8.55212038221325,150174.66803616213,285696,49,0.3616882560863399,0.27663899696373584,0.8733846384311914,0.0,0.0,0.0,1.2722469680011272,2.8810125617310405
gpt2,wikitext2,cuda,3,admm_gptq,3,18.795127605451906,145418682.53940913,15.427500484664808,145418653.52980012,285696,49,0.4570248754622172,0.3008111337604712,2.0828136690451915,1.5333115271560973,20.902182042550653,5.574022165321307,168.486352478154,2.8752911258488894
gpt2,wikitext2,cuda,3,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,8.190050721168518e-06,2.8836001874879003
gpt2,wikitext2,cuda,3,rtn,4,13.045498301051424,463007.3932351809,9.677871180264326,462978.3836261561,285696,49,0.17674056768428886,0.13144304365547352,0.420550102806764,0.0,0.0,0.0,0.6408985126763582,2.8718650937080383
gpt2,wikitext2,cuda,3,gptq_proxy,4,5.745229285250428,312.69531603506107,2.3776021644633305,283.6857070102401,285696,49,0.13403916460042634,0.10902464828491261,0.343994718321798,0.0,0.0,0.0,5.709056155756116,2.8758384669199586
gpt2,wikitext2,cuda,3,awq_proxy,4,5.372448089729501,215.38951566171818,2.0048209689424032,186.37990663689723,285696,49,0.16087717190099507,0.12695522002202353,0.34751674482880884,0.0,0.0,0.0,1.2757651563733816,2.872588910162449
gpt2,wikitext2,cuda,3,admm_gptq,4,6.0013777876412995,403.98501578866666,2.633750666854202,374.9754067638457,285696,49,0.17624392517653004,0.13126294932237118,0.42379349728617616,0.7912468682385058,8.191719053921885,3.962783589626264,168.15791230648756,2.8799036042764783
gpt2,wikitext2,cuda,4,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.486949622631073e-05,2.903775661252439
gpt2,wikitext2,cuda,4,rtn,3,41.51167487414507,485165195.4097903,38.144047753357974,485165166.40018123,285696,49,0.392898322975353,0.2815162998443234,0.9379182165788079,0.0,0.0,0.0,0.6376862404868007,2.8802914917469025
gpt2,wikitext2,cuda,4,gptq_proxy,3,12.953861253663204,422464.7345027851,9.586234132876108,422435.7248937603,285696,49,0.3029704121262266,0.24453352517034826,0.8682067213254054,0.0,0.0,0.0,5.769061614759266,2.8712061578407884
gpt2,wikitext2,cuda,4,awq_proxy,3,12.105858642140596,180928.7600959258,8.738231521353498,180899.75048690097,285696,49,0.3619280343692639,0.2766983841769554,0.864737692404703,0.0,0.0,0.0,1.2494578091427684,2.8765184553340077
