problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,deploy_rel_error,weight_rel_error,bits,num_blocks,rho0,wall_time_sec,best_deploy_rel_error,final_residual_max,log_residual_auc,log_primal_auc,iter_primal_below_3
tiny_llm_ptq,online_ogd_norm_magnitude,1,100,1.3405303919365275e-05,1.3405303919365275e-05,8.708925921591105,0.04097997108109276,0.0027159393600540097,100,running,0.3716068995387823,0.3677136617065977,4,7,1.0,1.4358952000038698,0.2533368219919122,8.708925921591105,0.9570517026158605,0.9570517026158605,
tiny_llm_ptq,online_ogd_task_norm_magnitude,1,100,2.2191346253052612e-05,2.2191346253052612e-05,8.748933491089575,0.053064281098734775,0.0035328412774175495,100,running,0.3696656778804018,0.3689136753514032,4,7,1.0,1.4601560999872163,0.2533368219919122,8.748933491089575,0.9554988509920078,0.9554988509920078,
tiny_llm_ptq,online_ogd_task_norm_mag_feas_high,1,100,6.873068369581727e-05,6.873068369581727e-05,8.81719394976943,0.0954839292306216,0.006368720958518321,100,running,0.37160968777803477,0.370186902225181,4,7,1.0,1.4308625999838114,0.2533368219919122,8.81719394976943,0.954030877819831,0.954030877819831,
tiny_llm_ptq,fixed_rho_0p1,2,100,0.008476867692127844,0.0015512398999964195,9.036263108800668,1.4353390316570005,0.1,0,running,0.3706801973951427,0.3544078251132319,4,7,0.1,1.462577499973122,0.2533449754189957,9.036263108800668,0.9579225077146301,0.9579225077146301,
tiny_llm_ptq,fixed_rho_1,2,100,0.1452972902741283,0.03452574687619056,7.336682071717944,10.321893648316498,1.0,0,running,0.3417853839408655,0.3090350576371101,4,7,1.0,1.3464068000321276,0.2527470893716168,10.321893648316498,1.0122977010079257,0.868540736207409,
tiny_llm_ptq,fixed_rho_10,2,100,0.6568943406586302,0.26191399307218466,2.55989042358307,31.857983161726104,10.0,0,running,0.27599814428230834,0.26445254300564364,4,7,10.0,1.2633991000475362,0.25349325434927444,31.857983161726104,1.4643553462776566,0.3886049690669384,1
tiny_llm_ptq,online_ogd_balance,2,100,0.10396675585754542,0.03452574687619056,7.901221819518012,8.005955249550192,0.7101496212530384,100,running,0.35782947545030563,0.320542756821725,4,7,1.0,1.2285802999977022,0.2527470893716168,8.005955249550192,0.9849811603078096,0.8738306263366699,
tiny_llm_ptq,online_ogd_task_aware,2,100,0.15632555692005606,0.03452574687619056,7.640102030108532,11.121972149350295,1.0523470845539236,100,running,0.3592269509853969,0.31630477274177826,4,7,1.0,1.1405798000050709,0.2527470893716168,11.121972149350295,1.0713525683268128,0.8525145100752731,
tiny_llm_ptq,online_ogd_task_feasibility,2,100,0.29319823142806073,0.03452574687619056,6.210289509592955,18.22156225594973,2.1997018878246912,100,running,0.31791408245691943,0.28914227490111494,4,7,1.0,1.287975599989295,0.2527470893716168,18.22156225594973,1.2590631176932938,0.782032244461673,
tiny_llm_ptq,online_ogd_task_feas_mid,2,100,0.5467796190516448,0.03452574687619056,3.3575361452322072,27.442311851471622,6.630741101682505,100,running,0.2804809458177753,0.2715734278584131,4,7,1.0,1.2862738999538124,0.2527470893716168,27.442311851471622,1.397537909079512,0.5685906492992151,
tiny_llm_ptq,online_ogd_task_feas_aggressive,2,100,0.752175390826434,0.03452574687619056,0.5841001888922426,21.904059063338625,30.777929297840217,100,running,0.24903643045926932,0.26595444993588413,4,7,1.0,1.2675839000148699,0.2479381963064686,21.904059063338625,1.4400081762831882,0.16468165395822962,10
tiny_llm_ptq,online_ogd_sum_log_residuals,2,100,0.009507081797291456,0.009507081797291456,9.07863387192351,1.5565841634085937,0.1087446876965219,100,running,0.36985235076011486,0.3544847916318087,4,7,1.0,1.3161245000083,0.2527470893716168,9.07863387192351,0.9478391327145508,0.9461305779143758,
tiny_llm_ptq,online_ogd_norm_magnitude,2,100,1.104026029397478e-05,1.104026029397478e-05,8.870524928551767,0.04151420881562552,0.002719922006576818,100,running,0.37396253244015076,0.37453573997687484,4,7,1.0,1.58720439998433,0.2527470893716168,8.870524928551767,0.9579145550890488,0.9579145550890488,
tiny_llm_ptq,online_ogd_task_norm_magnitude,2,100,1.8627564401305856e-05,1.8627564401305856e-05,8.900804005794306,0.05404630487149796,0.0035604178945296515,100,running,0.37355378814635987,0.37540701916995933,4,7,1.0,1.5682309999829158,0.2527470893716168,8.900804005794306,0.9566043950950552,0.9566043950950552,
tiny_llm_ptq,online_ogd_task_norm_mag_feas_high,2,100,5.808708295254423e-05,5.808708295254423e-05,8.749687261858007,0.09567914266642458,0.006354134108454937,100,running,0.3686222767701783,0.36764442952763104,4,7,1.0,1.5677311000181362,0.2527470893716168,8.749687261858007,0.9548871317741916,0.9548871317741916,
