seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,awq_proxy,,,4,model.decoder.layers.7.self_attn.q_proj,768,768,0.11025125788429734,,,
0,awq_proxy,,,4,model.decoder.layers.7.self_attn.out_proj,768,768,0.19923702502039053,,,
0,awq_proxy,,,4,model.decoder.layers.7.fc1,768,3072,0.06639920561326138,,,
0,awq_proxy,,,4,model.decoder.layers.7.fc2,3072,768,0.2576941591086998,,,
0,awq_proxy,,,4,model.decoder.layers.8.self_attn.k_proj,768,768,0.1100609047726781,,,
0,awq_proxy,,,4,model.decoder.layers.8.self_attn.v_proj,768,768,0.1557887553317082,,,
0,awq_proxy,,,4,model.decoder.layers.8.self_attn.q_proj,768,768,0.11241179833095737,,,
0,awq_proxy,,,4,model.decoder.layers.8.self_attn.out_proj,768,768,0.1666225921829271,,,
0,awq_proxy,,,4,model.decoder.layers.8.fc1,768,3072,0.06581945532299492,,,
0,awq_proxy,,,4,model.decoder.layers.8.fc2,3072,768,0.27799135215102294,,,
0,awq_proxy,,,4,model.decoder.layers.9.self_attn.k_proj,768,768,0.11208511515867382,,,
0,awq_proxy,,,4,model.decoder.layers.9.self_attn.v_proj,768,768,0.1555012266169211,,,
0,awq_proxy,,,4,model.decoder.layers.9.self_attn.q_proj,768,768,0.11910952665195719,,,
0,awq_proxy,,,4,model.decoder.layers.9.self_attn.out_proj,768,768,0.16053901020263373,,,
0,awq_proxy,,,4,model.decoder.layers.9.fc1,768,3072,0.0679493830723851,,,
0,awq_proxy,,,4,model.decoder.layers.9.fc2,3072,768,0.2593678074393555,,,
0,awq_proxy,,,4,model.decoder.layers.10.self_attn.k_proj,768,768,0.12547151869413287,,,
0,awq_proxy,,,4,model.decoder.layers.10.self_attn.v_proj,768,768,0.16657391024157603,,,
0,awq_proxy,,,4,model.decoder.layers.10.self_attn.q_proj,768,768,0.11988348050461925,,,
0,awq_proxy,,,4,model.decoder.layers.10.self_attn.out_proj,768,768,0.16715430693244332,,,
0,awq_proxy,,,4,model.decoder.layers.10.fc1,768,3072,0.0682709641772932,,,
0,awq_proxy,,,4,model.decoder.layers.10.fc2,3072,768,0.2919638590726642,,,
0,awq_proxy,,,4,model.decoder.layers.11.self_attn.k_proj,768,768,0.14065006142375236,,,
0,awq_proxy,,,4,model.decoder.layers.11.self_attn.v_proj,768,768,0.1854722387592218,,,
0,awq_proxy,,,4,model.decoder.layers.11.self_attn.q_proj,768,768,0.1274149162045708,,,
0,awq_proxy,,,4,model.decoder.layers.11.self_attn.out_proj,768,768,0.17369884354961176,,,
0,awq_proxy,,,4,model.decoder.layers.11.fc1,768,3072,0.08706962548126708,,,
0,awq_proxy,,,4,model.decoder.layers.11.fc2,3072,768,0.12397878232130637,,,
0,awq_proxy,,,4,lm_head,768,50272,0.05560702716383371,,,
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.self_attn.k_proj,768,768,0.09145730989028464,2.78206339739771,0.24244062422105356,0.0937723724116511
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.self_attn.v_proj,768,768,0.18250630209738258,0.013520974269635187,0.0454969783327664,1.280906635664846
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.self_attn.q_proj,768,768,0.09103481004160564,1.9899322909441395,0.21720983213848918,0.1166911826025504
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.self_attn.out_proj,768,768,0.11045598118072446,0.000137632287176937,0.024660367324953743,4.467593202069646
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.fc1,768,3072,0.07816193388438981,0.20408768127802104,0.17288541719832223,1.0140513599341745
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.0.fc2,3072,768,0.10223243896805205,0.0005477056553452574,0.05676319299575181,2.3585708276934056
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.self_attn.k_proj,768,768,0.08139667822623083,0.714750023206798,0.13127336441364948,0.22326925944704004
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.self_attn.v_proj,768,768,0.1455698553003565,0.013331977865155708,0.03220521129627316,1.2789282502603645
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.self_attn.q_proj,768,768,0.09828271955967205,0.6759722886158195,0.13482570949673273,0.2445480365655884
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.self_attn.out_proj,768,768,0.1704734083103373,2.0438313678521293e-06,0.009116723300319722,22.944705366260457
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.fc1,768,3072,0.08863650858864155,0.31641689329904976,0.20654039095799337,0.7645945046916327
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.1.fc2,3072,768,0.18691185881933434,6.178404734962976e-06,0.006338380663344134,39.87797289833099
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.self_attn.k_proj,768,768,0.07923489315948071,3.3960772155700605,0.2223434633909373,0.07291186890773901
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.self_attn.v_proj,768,768,0.16537821395740132,0.09984824579917653,0.08475783292141396,1.0245837556371307
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.self_attn.q_proj,768,768,0.08125708719187236,2.555894199224769,0.19164112721110335,0.08571238963334134
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.self_attn.out_proj,768,768,0.21648697704353484,1.330802519282463e-05,0.019173372718844277,6.801117896317588
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.fc1,768,3072,0.07567484328207823,0.36171841549447764,0.26413135444947505,0.7014380949963475
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.2.fc2,3072,768,0.06559340601482176,8.264987098057653e-06,0.02875810778738334,9.572904665397335
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.self_attn.k_proj,768,768,0.057047714316195375,1.2797407239352208,0.1157276935624747,0.10855328386698264
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.self_attn.v_proj,768,768,0.17318189013085428,0.07526594412400112,0.06141605032719843,1.17956264341308
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.self_attn.q_proj,768,768,0.061567882694957055,1.2336427955478935,0.11674704213768619,0.11538030854613814
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.self_attn.out_proj,768,768,0.19111103951046263,2.151668590090473e-06,0.008312894849082425,27.718371651051214
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.fc1,768,3072,0.05991975187401154,0.2790133097161127,0.28067216873212775,0.9615333065680921
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.3.fc2,3072,768,0.1910580911348853,4.889816697161221e-06,0.013573961668527314,36.89512129766756
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.self_attn.k_proj,768,768,0.060100489763488175,5.49979192167048,0.3387121474737005,0.0632712324440303
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.self_attn.v_proj,768,768,0.1629801218502236,0.10638581809860514,0.09642889757367004,1.0555557499762294
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.self_attn.q_proj,768,768,0.06526227272444991,4.629431792096499,0.3064287095408571,0.06853579310691352
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.self_attn.out_proj,768,768,0.16714714760059157,5.017103387292593e-06,0.013203623344362158,12.554035039751165
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.fc1,768,3072,0.0590254093956179,0.18270618901714444,0.14127337804943838,1.1150713449987468
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.4.fc2,3072,768,0.2859439830735822,5.843165742811035e-06,0.0024927037805508993,39.87797289833099
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.self_attn.k_proj,768,768,0.06400836562211058,8.042397210604067,0.4483967875023647,0.055906838059335696
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.self_attn.v_proj,768,768,0.1673128648400065,0.10383804958921732,0.08676696174371099,0.9039445970950077
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.self_attn.q_proj,768,768,0.06713585683631229,7.0210513600868945,0.41225731565830576,0.05928090736719427
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.self_attn.out_proj,768,768,0.19371506177225004,2.999207988859871e-06,0.011251238412097167,18.04747703672148
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.fc1,768,3072,0.06766683735194472,0.17216712337245663,0.12118748793122695,1.1319071379606958
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.5.fc2,3072,768,0.48940799768394366,6.528134767654687e-06,0.0048503958152417755,39.87797289833099
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.self_attn.k_proj,768,768,0.06937497362173776,10.898142077094684,0.5345813374083414,0.047453541783473205
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.self_attn.v_proj,768,768,0.16327032125243193,0.12553775866228428,0.09361823760338449,0.7497415921255975
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.self_attn.q_proj,768,768,0.07017752796731451,7.85906678462274,0.4714468014221164,0.05972503215133947
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.self_attn.out_proj,768,768,0.17864895727172703,4.5594905540991805e-05,0.022313249210169042,6.112215636197891
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.fc1,768,3072,0.07284273200243012,0.24430361075949827,0.17041417427826028,0.7812874622431959
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.6.fc2,3072,768,0.477842099427506,1.1740036849385e-05,0.027067201397326116,16.68923460722808
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.self_attn.k_proj,768,768,0.0824641915348161,12.171434347974902,0.5288625820852938,0.0399137998272605
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.self_attn.v_proj,768,768,0.14646998859768007,0.1091110331004902,0.0902007488210571,0.8372931021490874
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.self_attn.q_proj,768,768,0.0847691711186115,10.522059564928563,0.5228956930114086,0.04669067620882279
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.self_attn.out_proj,768,768,0.21554277005435665,0.0006436962362547106,0.043048601916738705,1.920599599826865
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.fc1,768,3072,0.07127182999291556,0.2731534708903156,0.19538237854960616,0.7582842480725133
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.7.fc2,3072,768,0.4381405950615127,6.476479693925087e-06,0.010561011952702091,39.87797289833099
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.self_attn.k_proj,768,768,0.09273326353940463,12.558924227773165,0.49940661004944187,0.035275923039642505
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.self_attn.v_proj,768,768,0.15423173968098958,0.19429756629452907,0.10636204103156892,0.534672963271202
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.self_attn.q_proj,768,768,0.09299535599010177,11.227919547640655,0.49783971110104774,0.040028300567263586
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.self_attn.out_proj,768,768,0.1753257154143207,0.0004070517295392141,0.03848805502692941,1.8619719245542776
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.fc1,768,3072,0.06878415358058645,0.2080617664575041,0.14856963349446886,0.910375611980284
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.8.fc2,3072,768,0.44601068834442187,9.497935441667953e-06,0.021805976231091297,22.244473337060427
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.self_attn.k_proj,768,768,0.10380113907615379,12.530480415901181,0.5001228776211388,0.03494037259251505
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.self_attn.v_proj,768,768,0.14742056843504314,0.1768932982468111,0.0997768337057231,0.5629777211062235
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.self_attn.q_proj,768,768,0.10578273106780935,10.868247555689912,0.48100736619364254,0.03923445109559291
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.self_attn.out_proj,768,768,0.17035594289500125,0.00195390066085265,0.043861757740620975,1.4950362448070267
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.fc1,768,3072,0.0704149399282695,0.14722112393416495,0.12008643673416453,1.2075913027275573
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.9.fc2,3072,768,0.37538905199381795,1.624201945178184e-05,0.02846017883408087,15.629338262107844
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.self_attn.k_proj,768,768,0.12430024830541075,14.737889895089747,0.5675874374696339,0.03316743069889275
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.self_attn.v_proj,768,768,0.16232438267898852,0.10540623932126837,0.06778041658124481,0.6640701305079567
0,admm_gptq,task_norm_magnitude,1.0,4,model.decoder.layers.10.self_attn.q_proj,768,768,0.11364035813919005,11.867026774345478,0.5496209320525702,0.04115290231412618
