problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,deploy_loss,continuous_loss,teacher_weight_rel_error,wall_time_sec,deploy_rel_error,weight_rel_error,bits,num_blocks
tanh_qat_nonconvex,fixed_rho_10,2,100,0.5599658153660648,0.5599658153660648,0.000556783782074501,0.0949005874709505,10.0,0,running,0.5588528995615586,0.5590334872669751,1.0892407084738651,0.21712789998855442,,,,
tanh_qat_nonconvex,residual_balance_raw,2,100,0.4108357605196527,0.4108357605196527,0.288372182233444,0.4827690467027352,1.0,0,running,0.41472663485047634,0.41005635724003037,1.0380839178689691,0.22915239998837933,,,,
tanh_qat_nonconvex,residual_balance_normalized,2,100,0.4108357605196527,0.4108357605196527,0.288372182233444,0.4827690467027352,1.0,0,running,0.41472663485047634,0.41005635724003037,1.0380839178689691,0.21253030002117157,,,,
tanh_qat_nonconvex,residual_balance_relative,2,100,0.4108357605196527,0.4108357605196527,0.288372182233444,0.4827690467027352,1.0,0,running,0.41472663485047634,0.41005635724003037,1.0380839178689691,0.21169740002369508,,,,
tanh_qat_nonconvex,online_ogd,2,100,0.3859463013132251,0.3859463013132251,0.3382778066154865,0.34869325870987966,0.5916762859750462,97,running,0.3926848666924047,0.38515728420159007,1.0370701535092361,0.2047436999855563,,,,
tanh_qat_nonconvex,online_ogd_task_aware,2,100,0.3949709778548948,0.3949709778548948,0.30949996197409785,0.34707808424862896,0.6696598581915038,100,running,0.39894748770307836,0.39417744798167736,1.0406583166085,0.2118851999985054,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility,2,100,0.4497461131128074,0.4497461131128074,0.20687993952678363,0.49730277473898576,1.4147070679596006,100,running,0.4528633540922362,0.44900209276608377,1.0473923581974276,0.20072230004006997,,,,
tanh_qat_nonconvex,online_ogd_task_accept,2,100,0.3749583016150674,0.3749583016150674,0.3987264794929158,0.16966542816450036,0.25573820112171175,100,running,0.3812437740857715,0.3741625147515135,1.0378039750468888,0.4082642000284977,,,,
tanh_qat_nonconvex,online_ogd_epoch5,2,100,0.40573530106275185,0.40573530106275185,0.33643995085882467,0.42309529781170285,0.7523281899832686,20,running,0.4082798718003608,0.4049541178064258,1.0374223611336957,0.2832893000449985,,,,
tanh_qat_nonconvex,online_ogd_freeze50,2,100,0.38673442291436266,0.38673442291436266,0.32885286825494986,0.3536256947238618,0.6226111496620288,50,running,0.3957231133518571,0.38594596480806725,1.037613057556125,0.3995872999657877,,,,
tanh_qat_nonconvex,online_ogd_no_dual_rescale,2,100,0.393551651096487,0.393551651096487,0.34322285351930165,0.3547139877662885,0.583408575263004,100,running,0.40140485970157025,0.3927645293246152,1.0348982506524966,0.3332679000450298,,,,
tiny_llm_ptq,fixed_rho_0p1,0,100,0.00849087496015108,0.0015440479746003802,8.84833987757663,1.3921692487918584,0.1,0,running,,,,1.4126115000108257,0.3565832478106494,0.35109252730353463,4,7
tiny_llm_ptq,fixed_rho_1,0,100,0.13768614636241772,0.033343998440322924,6.762202583685685,9.332084090210891,1.0,0,running,,,,1.2772465000161901,0.32802062952820954,0.2991230284552358,4,7
